FF,1-2,2010-03-04T20:05:04Z
FF,3-2,2010-03-04T21:37:26Z
CH,3-2,2010-03-04T22:07:57Z
FF,3-1,2010-03-04T22:07:57Z
CU,2-2,2010-03-04T20:29:24Z
FF,3-2,2010-03-04T20:29:24Z
SL,0-1,2010-03-04T20:55:54Z
FC,1-1,2010-03-04T21:21:21Z
FF,1-1,2010-03-04T21:45:47Z
FT,1-2,2010-03-04T21:49:18Z
FT,0-1,2010-03-04T21:49:18Z
CU,1-1,2010-03-04T22:38:21Z
CH,0-0,2010-03-04T22:38:21Z
FF,1-1,2010-03-05T20:09:52Z
FF,1-0,2010-03-05T20:44:19Z
FF,1-2,2010-03-05T20:44:19Z
FF,2-2,2010-03-05T20:57:52Z
SL,0-1,2010-03-05T21:02:10Z
FF,0-0,2010-03-05T21:13:44Z
FF,0-0,2010-03-05T21:13:44Z
FC,0-0,2010-03-06T20:23:56Z
FC,1-0,2010-03-06T21:51:21Z
CH,0-1,2010-03-06T20:33:07Z
FF,0-2,2010-03-06T21:13:31Z
FF,0-0,2010-03-06T21:30:49Z
FF,0-0,2010-03-06T21:30:49Z
FF,0-1,2010-03-06T21:49:29Z
CH,1-2,2010-03-08T20:06:35Z
SI,0-0,2010-03-08T20:54:13Z
FF,3-1,2010-03-08T20:54:13Z
FT,1-0,2010-03-08T20:54:13Z
SL,2-2,2010-03-08T20:54:13Z
FF,3-1,2010-03-08T22:05:45Z
FF,1-0,2010-03-08T22:05:45Z
FA,1-0,2010-03-08T22:05:45Z
FT,2-1,2010-03-08T22:05:45Z
SL,1-2,2010-03-08T21:13:15Z
FF,0-0,2010-03-08T21:13:15Z
CH,0-1,2010-03-08T21:13:15Z
FF,1-1,2010-03-08T21:13:15Z
FT,3-2,2010-03-08T22:17:17Z
SI,1-1,2010-03-09T20:17:41Z
FF,2-0,2010-03-09T21:12:20Z
SI,0-1,2010-03-09T21:39:58Z
CH,1-0,2010-03-09T22:31:49Z
SI,0-0,2010-03-09T21:04:45Z
CU,2-2,2010-03-09T21:20:57Z
CH,0-0,2010-03-09T21:20:57Z
FT,1-0,2010-03-09T21:49:13Z
FT,1-1,2010-03-09T21:49:13Z
FF,3-1,2010-03-09T21:56:45Z
FF,1-2,2010-03-09T22:11:15Z
FC,3-2,2010-03-09T22:11:15Z
SL,0-0,2010-03-09T23:04:41Z
CH,1-1,2010-03-10T20:05:30Z
CU,0-1,2010-03-10T20:19:48Z
FF,0-0,2010-03-10T22:51:51Z
FF,0-1,2010-03-10T22:00:36Z
FF,0-0,2010-03-10T22:28:56Z
FF,1-1,2010-03-10T21:09:15Z
FF,1-0,2010-03-10T21:44:36Z
FF,1-0,2010-03-10T21:44:36Z
SI,3-1,2010-03-11T20:17:53Z
FF,2-2,2010-03-11T20:39:41Z
FF,0-0,2010-03-11T20:46:14Z
FT,1-0,2010-03-11T22:17:37Z
FT,2-1,2010-03-11T22:34:47Z
FT,0-0,2010-03-11T23:01:52Z
FF,2-2,2010-03-11T23:25:27Z
FF,2-2,2010-03-11T23:25:36Z
FF,3-2,2010-03-11T20:28:26Z
FF,3-2,2010-03-11T20:49:02Z
FF,3-1,2010-03-11T21:06:47Z
SI,0-1,2010-03-11T22:39:28Z
CH,1-0,2010-03-12T20:17:36Z
FF,2-2,2010-03-12T20:27:52Z
FT,2-1,2010-03-12T21:33:08Z
FT,0-1,2010-03-12T22:15:07Z
