"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"20000403","ANA","ANA01",42704
"20000404","ANA","ANA01",25818
"20000405","ANA","ANA01",24560
"20000407","ANA","ANA01",30412
"20000408","ANA","ANA01",27369
"20000409","ANA","ANA01",35847
"20000410","ANA","ANA01",14338
"20000411","ANA","ANA01",15229
"20000412","ANA","ANA01",16494
"20000424","ANA","ANA01",16433
"20000425","ANA","ANA01",17086
"20000426","ANA","ANA01",16153
"20000427","ANA","ANA01",16144
"20000428","ANA","ANA01",31888
"20000429","ANA","ANA01",26827
"20000430","ANA","ANA01",25613
"20000508","ANA","ANA01",15034
"20000509","ANA","ANA01",15308
"20000510","ANA","ANA01",15300
"20000511","ANA","ANA01",15644
"20000512","ANA","ANA01",35305
"20000513","ANA","ANA01",33236
"20000514","ANA","ANA01",27012
"20000516","ANA","ANA01",15881
"20000517","ANA","ANA01",17697
"20000519","ANA","ANA01",26561
"20000520","ANA","ANA01",30869
"20000521","ANA","ANA01",28052
"20000602","ANA","ANA01",43619
"20000603","ANA","ANA01",34580
"20000604","ANA","ANA01",40489
"20000605","ANA","ANA01",17924
"20000606","ANA","ANA01",19674
"20000607","ANA","ANA01",22920
"20000620","ANA","ANA01",16711
"20000621","ANA","ANA01",16169
"20000622","ANA","ANA01",17805
"20000623","ANA","ANA01",30254
"20000624","ANA","ANA01",28917
"20000625","ANA","ANA01",19391
"20000626","ANA","ANA01",18768
"20000630","ANA","ANA01",28765
"20000701","ANA","ANA01",31696
"20000702","ANA","ANA01",21150
"20000703","ANA","ANA01",20919
"20000704","ANA","ANA01",43487
"20000705","ANA","ANA01",17369
"20000706","ANA","ANA01",18790
"20000707","ANA","ANA01",29826
"20000708","ANA","ANA01",22958
"20000709","ANA","ANA01",23820
"20000719","ANA","ANA01",20083
"20000720","ANA","ANA01",23150
"20000727","ANA","ANA01",24394
"20000728","ANA","ANA01",40711
"20000729","ANA","ANA01",25881
"20000730","ANA","ANA01",27538
"20000731","ANA","ANA01",16797
"20000801","ANA","ANA01",19104
"20000802","ANA","ANA01",29017
"20000807","ANA","ANA01",23078
"20000808","ANA","ANA01",27293
"20000809","ANA","ANA01",25334
"20000811","ANA","ANA01",43169
"20000812","ANA","ANA01",43394
"20000813","ANA","ANA01",43411
"20000825","ANA","ANA01",41452
"20000826","ANA","ANA01",37697
"20000827","ANA","ANA01",31504
"20000828","ANA","ANA01",17483
"20000829","ANA","ANA01",17773
"20000830","ANA","ANA01",19653
"20000908","ANA","ANA01",30480
"20000909","ANA","ANA01",22332
"20000910","ANA","ANA01",22606
"20000911","ANA","ANA01",17323
"20000912","ANA","ANA01",15689
"20000913","ANA","ANA01",16686
"20000929","ANA","ANA01",33424
"20000930","ANA","ANA01",35238
"20001001","ANA","ANA01",30473
"20000404","ARI","PHO01",44298
"20000405","ARI","PHO01",29291
"20000406","ARI","PHO01",28774
"20000407","ARI","PHO01",32536
"20000408","ARI","PHO01",33298
"20000409","ARI","PHO01",34204
"20000417","ARI","PHO01",33743
"20000418","ARI","PHO01",30275
"20000419","ARI","PHO01",31237
"20000420","ARI","PHO01",34458
"20000421","ARI","PHO01",40929
"20000422","ARI","PHO01",45659
"20000423","ARI","PHO01",35879
"20000505","ARI","PHO01",42297
"20000506","ARI","PHO01",36827
"20000507","ARI","PHO01",38060
"20000508","ARI","PHO01",33338
"20000509","ARI","PHO01",32326
"20000510","ARI","PHO01",43345
"20000523","ARI","PHO01",31726
"20000524","ARI","PHO01",30462
"20000525","ARI","PHO01",30759
"20000526","ARI","PHO01",34846
"20000527","ARI","PHO01",35163
"20000528","ARI","PHO01",35121
"20000529","ARI","PHO01",47014
"20000530","ARI","PHO01",36180
"20000531","ARI","PHO01",39761
"20000601","ARI","PHO01",37131
"20000609","ARI","PHO01",39468
"20000610","ARI","PHO01",35213
"20000611","ARI","PHO01",36349
"20000619","ARI","PHO01",37336
"20000620","ARI","PHO01",30011
"20000621","ARI","PHO01",33003
"20000623","ARI","PHO01",37089
"20000624","ARI","PHO01",42559
"20000625","ARI","PHO01",35887
"20000626","ARI","PHO01",31388
"20000627","ARI","PHO01",30115
"20000628","ARI","PHO01",29540
"20000629","ARI","PHO01",31518
"20000630","ARI","PHO01",38197
"20000701","ARI","PHO01",39385
"20000702","ARI","PHO01",39841
"20000703","ARI","PHO01",38287
"20000713","ARI","PHO01",32541
"20000714","ARI","PHO01",34415
"20000715","ARI","PHO01",37856
"20000716","ARI","PHO01",34144
"20000717","ARI","PHO01",35504
"20000718","ARI","PHO01",32090
"20000719","ARI","PHO01",37119
"20000720","ARI","PHO01",40937
"20000801","ARI","PHO01",35138
"20000802","ARI","PHO01",40643
"20000803","ARI","PHO01",35441
"20000804","ARI","PHO01",41832
"20000805","ARI","PHO01",41656
"20000806","ARI","PHO01",39641
"20000807","ARI","PHO01",31526
"20000808","ARI","PHO01",33113
"20000809","ARI","PHO01",33500
"20000818","ARI","PHO01",44440
"20000819","ARI","PHO01",47404
"20000820","ARI","PHO01",43636
"20000821","ARI","PHO01",31752
"20000822","ARI","PHO01",31057
