"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"19930408","ATL","ATL01",48450
"19930409","ATL","ATL01",48658
"19930410","ATL","ATL01",49187
"19930411","ATL","ATL01",48406
"19930412","ATL","ATL01",39749
"19930413","ATL","ATL01",49116
"19930414","ATL","ATL01",45758
"19930426","ATL","ATL01",47324
"19930427","ATL","ATL01",42527
"19930428","ATL","ATL01",41395
"19930429","ATL","ATL01",49221
"19930430","ATL","ATL01",49272
"19930501","ATL","ATL01",49307
"19930502","ATL","ATL01",49077
"19930514","ATL","ATL01",48449
"19930515","ATL","ATL01",48425
"19930516","ATL","ATL01",48890
"19930517","ATL","ATL01",43703
"19930518","ATL","ATL01",46099
"19930519","ATL","ATL01",48936
"19930528","ATL","ATL01",49019
"19930529","ATL","ATL01",48747
"19930530","ATL","ATL01",48886
"19930531","ATL","ATL01",45850
"19930601","ATL","ATL01",44935
"19930602","ATL","ATL01",42488
"19930603","ATL","ATL01",49292
"19930610","ATL","ATL01",45424
"19930611","ATL","ATL01",48702
"19930612","ATL","ATL01",48777
"19930613","ATL","ATL01",48536
"19930614","ATL","ATL01",45849
"19930615","ATL","ATL01",49354
"19930616","ATL","ATL01",49296
"19930625","ATL","ATL01",48769
"19930626","ATL","ATL01",47864
"19930627","ATL","ATL01",48796
"19930629","ATL","ATL01",48974
"19930630","ATL","ATL01",48791
"19930701","ATL","ATL01",45252
"19930702","ATL","ATL01",49158
"19930703","ATL","ATL01",48920
"19930704","ATL","ATL01",48814
"19930705","ATL","ATL01",45377
"19930715","ATL","ATL01",49046
"19930716","ATL","ATL01",48539
"19930717","ATL","ATL01",48665
"19930718","ATL","ATL01",49003
"19930719","ATL","ATL01",49447
"19930720","ATL","ATL01",49072
"19930721","ATL","ATL01",45122
"19930803","ATL","ATL01",49102
"19930804","ATL","ATL01",46144
"19930805","ATL","ATL01",49070
"19930806","ATL","ATL01",48564
"19930807","ATL","ATL01",48626
"19930808","ATL","ATL01",48710
"19930817","ATL","ATL01",49469
"19930818","ATL","ATL01",45473
"19930819","ATL","ATL01",49212
"19930827","ATL","ATL01",48939
"19930828","ATL","ATL01",48940
"19930829","ATL","ATL01",47631
"19930831","ATL","ATL01",46493
"19930901","ATL","ATL01",43290
"19930902","ATL","ATL01",48972
"19930903","ATL","ATL01",48883
"19930904","ATL","ATL01",48881
"19930905","ATL","ATL01",48463
"19930914","ATL","ATL01",48975
"19930915","ATL","ATL01",48825
"19930916","ATL","ATL01",49115
"19930917","ATL","ATL01",48837
"19930918","ATL","ATL01",49051
"19930919","ATL","ATL01",49064
"19930928","ATL","ATL01",49242
"19930929","ATL","ATL01",49032
"19930930","ATL","ATL01",49021
"19931001","ATL","ATL01",48968
"19931002","ATL","ATL01",48899
"19931003","ATL","ATL01",48904
"19930405","BAL","BAL12",46145
"19930407","BAL","BAL12",46447
"19930416","BAL","BAL12",45820
"19930417","BAL","BAL12",45382
"19930418","BAL","BAL12",45462
"19930420","BAL","BAL12",45891
"19930422","BAL","BAL12",22317
"19930428","BAL","BAL12",41102
"19930429","BAL","BAL12",42205
"19930430","BAL","BAL12",45915
"19930501","BAL","BAL12",46415
"19930502","BAL","BAL12",43844
"19930510","BAL","BAL12",46372
"19930511","BAL","BAL12",46460
"19930512","BAL","BAL12",46075
"19930517","BAL","BAL12",42756
"19930518","BAL","BAL12",43710
"19930519","BAL","BAL12",40307
"19930520","BAL","BAL12",45706
"19930521","BAL","BAL12",46145
"19930522","BAL","BAL12",46177
"19930523","BAL","BAL12",46564
"19930604","BAL","BAL12",46189
"19930605","BAL","BAL12",46559
"19930606","BAL","BAL12",46296
"19930607","BAL","BAL12",44838
"19930608","BAL","BAL12",46007
"19930609","BAL","BAL12",45963
"19930622","BAL","BAL12",46465
"19930623","BAL","BAL12",46288
"19930624","BAL","BAL12",46388
"19930625","BAL","BAL12",46312
"19930626","BAL","BAL12",46202
"19930627","BAL","BAL12",45146
"19930628","BAL","BAL12",46606
"19930629","BAL","BAL12",46408
"19930630","BAL","BAL12",46409
"19930708","BAL","BAL12",46496
"19930709","BAL","BAL12",46205
"19930710","BAL","BAL12",45368
"19930711","BAL","BAL12",45999
"19930715","BAL","BAL12",46626
"19930716","BAL","BAL12",46716
"19930717","BAL","BAL12",46360
"19930718","BAL","BAL12",46208
"19930719","BAL","BAL12",46056
"19930720","BAL","BAL12",45983
