"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"20160404","ANA","ANA01",44020
"20160405","ANA","ANA01",37042
"20160407","ANA","ANA01",39089
"20160408","ANA","ANA01",35207
"20160409","ANA","ANA01",38106
"20160410","ANA","ANA01",35097
"20160422","ANA","ANA01",40755
"20160423","ANA","ANA01",41058
"20160424","ANA","ANA01",37754
"20160425","ANA","ANA01",31061
"20160426","ANA","ANA01",34428
"20160427","ANA","ANA01",35142
"20160506","ANA","ANA01",41253
"20160507","ANA","ANA01",40142
"20160508","ANA","ANA01",41086
"20160510","ANA","ANA01",30679
"20160511","ANA","ANA01",33378
"20160512","ANA","ANA01",35413
"20160518","ANA","ANA01",44006
"20160519","ANA","ANA01",45007
"20160520","ANA","ANA01",40987
"20160521","ANA","ANA01",40137
"20160522","ANA","ANA01",41280
"20160527","ANA","ANA01",39047
"20160528","ANA","ANA01",38176
"20160529","ANA","ANA01",36538
"20160530","ANA","ANA01",38541
"20160531","ANA","ANA01",35125
"20160601","ANA","ANA01",35053
"20160610","ANA","ANA01",39487
"20160611","ANA","ANA01",38296
"20160612","ANA","ANA01",36383
"20160613","ANA","ANA01",36424
"20160614","ANA","ANA01",36272
"20160615","ANA","ANA01",36717
"20160623","ANA","ANA01",36412
"20160624","ANA","ANA01",41356
"20160625","ANA","ANA01",40643
"20160626","ANA","ANA01",36715
"20160627","ANA","ANA01",36839
"20160628","ANA","ANA01",38781
"20160629","ANA","ANA01",36683
"20160715","ANA","ANA01",42031
"20160716","ANA","ANA01",39620
"20160717","ANA","ANA01",36834
"20160718","ANA","ANA01",36020
"20160719","ANA","ANA01",36368
"20160720","ANA","ANA01",37095
"20160728","ANA","ANA01",41257
"20160729","ANA","ANA01",39113
"20160730","ANA","ANA01",43150
"20160731","ANA","ANA01",39553
"20160802","ANA","ANA01",36052
"20160803","ANA","ANA01",37306
"20160804","ANA","ANA01",34196
"20160815","ANA","ANA01",35840
"20160816","ANA","ANA01",37546
"20160817","ANA","ANA01",36950
"20160818","ANA","ANA01",37721
"20160819","ANA","ANA01",40256
"20160820","ANA","ANA01",44129
"20160821","ANA","ANA01",40309
"20160829","ANA","ANA01",34161
"20160830","ANA","ANA01",33042
"20160831","ANA","ANA01",34215
"20160909","ANA","ANA01",42139
"20160910","ANA","ANA01",39146
"20160911","ANA","ANA01",35052
"20160912","ANA","ANA01",29932
