"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"20020331","ANA","ANA01",42697
"20020402","ANA","ANA01",20055
"20020403","ANA","ANA01",18194
"20020408","ANA","ANA01",16908
"20020409","ANA","ANA01",17210
"20020410","ANA","ANA01",17784
"20020411","ANA","ANA01",18806
"20020412","ANA","ANA01",31815
"20020413","ANA","ANA01",33554
"20020414","ANA","ANA01",32881
"20020416","ANA","ANA01",15385
"20020417","ANA","ANA01",15632
"20020426","ANA","ANA01",25296
"20020427","ANA","ANA01",29112
"20020428","ANA","ANA01",25073
"20020507","ANA","ANA01",15315
"20020508","ANA","ANA01",14722
"20020509","ANA","ANA01",15003
"20020510","ANA","ANA01",36715
"20020511","ANA","ANA01",40535
"20020512","ANA","ANA01",19251
"20020520","ANA","ANA01",14035
"20020521","ANA","ANA01",15593
"20020522","ANA","ANA01",16163
"20020524","ANA","ANA01",27494
"20020525","ANA","ANA01",31820
"20020526","ANA","ANA01",22854
"20020603","ANA","ANA01",15619
"20020604","ANA","ANA01",16810
"20020605","ANA","ANA01",15301
"20020606","ANA","ANA01",17948
"20020607","ANA","ANA01",35341
"20020608","ANA","ANA01",29881
"20020609","ANA","ANA01",35501
"20020610","ANA","ANA01",16861
"20020611","ANA","ANA01",17755
"20020612","ANA","ANA01",17096
"20020628","ANA","ANA01",43690
"20020629","ANA","ANA01",43502
"20020630","ANA","ANA01",43059
"20020702","ANA","ANA01",18521
"20020703","ANA","ANA01",17477
"20020704","ANA","ANA01",43342
"20020705","ANA","ANA01",23648
"20020706","ANA","ANA01",29513
"20020707","ANA","ANA01",26446
"20020719","ANA","ANA01",43407
"20020720","ANA","ANA01",43109
"20020721","ANA","ANA01",34945
"20020723","ANA","ANA01",25370
"20020724","ANA","ANA01",25240
"20020725","ANA","ANA01",31653
"20020729","ANA","ANA01",27929
"20020730","ANA","ANA01",32812
"20020731","ANA","ANA01",28227
"20020801","ANA","ANA01",42897
"20020802","ANA","ANA01",43668
"20020803","ANA","ANA01",43619
"20020804","ANA","ANA01",43455
"20020812","ANA","ANA01",19709
"20020813","ANA","ANA01",19694
"20020814","ANA","ANA01",23391
"20020816","ANA","ANA01",41356
"20020817","ANA","ANA01",39866
"20020818","ANA","ANA01",41059
"20020827","ANA","ANA01",19869
"20020828","ANA","ANA01",17740
"20020829","ANA","ANA01",18820
"20020830","ANA","ANA01",29959
"20020831","ANA","ANA01",38563
"20020901","ANA","ANA01",24592
"20020909","ANA","ANA01",28145
"20020910","ANA","ANA01",35323
"20020911","ANA","ANA01",34302
