"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"19940412","ATL","ATL01",48806
"19940413","ATL","ATL01",44076
"19940414","ATL","ATL01",46379
"19940418","ATL","ATL01",41813
"19940419","ATL","ATL01",46103
"19940420","ATL","ATL01",40200
"19940422","ATL","ATL01",49223
"19940423","ATL","ATL01",49350
"19940424","ATL","ATL01",49522
"19940503","ATL","ATL01",39492
"19940504","ATL","ATL01",36444
"19940506","ATL","ATL01",48808
"19940507","ATL","ATL01",49157
"19940508","ATL","ATL01",48742
"19940509","ATL","ATL01",44987
"19940510","ATL","ATL01",47014
"19940511","ATL","ATL01",46985
"19940524","ATL","ATL01",49402
"19940525","ATL","ATL01",40747
"19940526","ATL","ATL01",45976
"19940527","ATL","ATL01",49253
"19940528","ATL","ATL01",49246
"19940529","ATL","ATL01",49298
"19940603","ATL","ATL01",49010
"19940604","ATL","ATL01",49257
"19940605","ATL","ATL01",49096
"19940606","ATL","ATL01",43206
"19940607","ATL","ATL01",44354
"19940608","ATL","ATL01",43354
"19940613","ATL","ATL01",48528
"19940614","ATL","ATL01",44545
"19940615","ATL","ATL01",45429
"19940616","ATL","ATL01",45827
"19940617","ATL","ATL01",49330
"19940618","ATL","ATL01",49081
"19940619","ATL","ATL01",49233
"19940620","ATL","ATL01",46681
"19940621","ATL","ATL01",46489
"19940622","ATL","ATL01",47907
"19940705","ATL","ATL01",49493
"19940706","ATL","ATL01",0
"19940706","ATL","ATL01",46387
"19940708","ATL","ATL01",49089
"19940709","ATL","ATL01",43820
"19940710","ATL","ATL01",49238
"19940714","ATL","ATL01",49559
"19940715","ATL","ATL01",49123
"19940716","ATL","ATL01",49108
"19940717","ATL","ATL01",46806
"19940725","ATL","ATL01",43596
"19940726","ATL","ATL01",49324
"19940727","ATL","ATL01",49333
"19940729","ATL","ATL01",48921
"19940730","ATL","ATL01",49101
"19940731","ATL","ATL01",48992
"19940404","BAL","BAL12",47549
"19940406","BAL","BAL12",44778
"19940408","BAL","BAL12",47252
"19940409","BAL","BAL12",47225
"19940410","BAL","BAL12",46469
"19940419","BAL","BAL12",43876
"19940420","BAL","BAL12",45851
"19940421","BAL","BAL12",45858
"19940422","BAL","BAL12",47051
"19940423","BAL","BAL12",45059
"19940424","BAL","BAL12",46640
"19940425","BAL","BAL12",46941
"19940426","BAL","BAL12",47565
"19940506","BAL","BAL12",47508
"19940508","BAL","BAL12",47345
"19940509","BAL","BAL12",47369
"19940510","BAL","BAL12",47194
"19940511","BAL","BAL12",47386
"19940517","BAL","BAL12",47420
"19940518","BAL","BAL12",47612
"19940519","BAL","BAL12",47467
"19940530","BAL","BAL12",47851
"19940531","BAL","BAL12",46843
"19940601","BAL","BAL12",46773
"19940602","BAL","BAL12",47341
"19940603","BAL","BAL12",47243
"19940604","BAL","BAL12",46518
"19940605","BAL","BAL12",47257
"19940613","BAL","BAL12",47383
"19940614","BAL","BAL12",47480
"19940615","BAL","BAL12",47306
"19940616","BAL","BAL12",46345
"19940617","BAL","BAL12",47475
"19940618","BAL","BAL12",47426
"19940619","BAL","BAL12",47088
"19940620","BAL","BAL12",47262
"19940621","BAL","BAL12",46599
"19940622","BAL","BAL12",47186
"19940701","BAL","BAL12",47342
"19940702","BAL","BAL12",47154
"19940703","BAL","BAL12",47092
"19940704","BAL","BAL12",47336
"19940705","BAL","BAL12",47842
"19940706","BAL","BAL12",47697
"19940707","BAL","BAL12",47722
"19940708","BAL","BAL12",46674
"19940709","BAL","BAL12",47310
"19940710","BAL","BAL12",46477
"19940726","BAL","BAL12",43578
"19940726","BAL","BAL12",46531
"19940728","BAL","BAL12",0
"19940728","BAL","BAL12",47632
"19940729","BAL","BAL12",47497
"19940730","BAL","BAL12",47000
"19940731","BAL","BAL12",47684
"19940404","BOS","BOS07",34023
"19940406","BOS","BOS07",17977
"19940407","BOS","BOS07",15304
"19940415","BOS","BOS07",31085
"19940417","BOS","BOS07",34501
"19940418","BOS","BOS07",34657
"19940419","BOS","BOS07",21745
"19940420","BOS","BOS07",25372
"19940421","BOS","BOS07",28032
"19940422","BOS","BOS07",25870
"19940423","BOS","BOS07",33889
"19940424","BOS","BOS07",32521
"19940503","BOS","BOS07",23309
"19940504","BOS","BOS07",24807
"19940509","BOS","BOS07",21844
"19940510","BOS","BOS07",20473
"19940511","BOS","BOS07",21471
"19940512","BOS","BOS07",22126
"19940513","BOS","BOS07",32579
"19940514","BOS","BOS07",33771
"19940524","BOS","BOS07",29696
"19940526","BOS","BOS07",28380
"19940530","BOS","BOS07",33341
"19940531","BOS","BOS07",22537
"19940601","BOS","BOS07",28307
"19940603","BOS","BOS07",33524
"19940604","BOS","BOS07",32325
"19940605","BOS","BOS07",33803
"19940610","BOS","BOS07",33673
"19940611","BOS","BOS07",33295
"19940612","BOS","BOS07",32280
"19940613","BOS","BOS07",29159
"19940614","BOS","BOS07",27874
"19940615","BOS","BOS07",30243
"19940627","BOS","BOS07",33204
"19940628","BOS","BOS07",33268
"19940629","BOS","BOS07",32704
"19940630","BOS","BOS07",32967
"19940701","BOS","BOS07",28336
"19940702","BOS","BOS07",31792
"19940703","BOS","BOS07",30943
"19940704","BOS","BOS07",26624
"19940705","BOS","BOS07",26199
"19940706","BOS","BOS07",28763
"19940707","BOS","BOS07",33249
"19940708","BOS","BOS07",33355
"19940709","BOS","BOS07",33092
"19940710","BOS","BOS07",33555
"19940722","BOS","BOS07",11776
"19940723","BOS","BOS07",0
"19940723","BOS","BOS07",17168
"19940724","BOS","BOS07",22411
"19940729","BOS","BOS07",33528
"19940730","BOS","BOS07",33081
"19940731","BOS","BOS07",32220
"19940801","BOS","BOS07",0
"19940801","BOS","BOS07",33429
"19940802","BOS","BOS07",32976
"19940803","BOS","BOS07",32047
"19940804","BOS","BOS07",33199
"19940806","BOS","BOS07",24934
"19940806","BOS","BOS07",32405
"19940807","BOS","BOS07",0
