"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"20070402","ANA","ANA01",43906
"20070403","ANA","ANA01",42463
"20070404","ANA","ANA01",35701
"20070405","ANA","ANA01",39234
"20070406","ANA","ANA01",43534
"20070407","ANA","ANA01",44007
"20070408","ANA","ANA01",37783
"20070420","ANA","ANA01",43359
"20070421","ANA","ANA01",43752
"20070422","ANA","ANA01",43628
"20070423","ANA","ANA01",40563
"20070424","ANA","ANA01",36055
"20070425","ANA","ANA01",36850
"20070426","ANA","ANA01",35597
"20070504","ANA","ANA01",44126
"20070505","ANA","ANA01",42574
"20070506","ANA","ANA01",42017
"20070508","ANA","ANA01",41731
"20070509","ANA","ANA01",40007
"20070510","ANA","ANA01",33698
"20070518","ANA","ANA01",44342
"20070519","ANA","ANA01",44380
"20070520","ANA","ANA01",44301
"20070528","ANA","ANA01",42352
"20070529","ANA","ANA01",38174
"20070530","ANA","ANA01",39288
"20070531","ANA","ANA01",42266
"20070601","ANA","ANA01",43012
"20070602","ANA","ANA01",42190
"20070603","ANA","ANA01",41026
"20070604","ANA","ANA01",37380
"20070605","ANA","ANA01",42001
"20070606","ANA","ANA01",36453
"20070618","ANA","ANA01",42232
"20070619","ANA","ANA01",42156
"20070620","ANA","ANA01",40761
"20070622","ANA","ANA01",43545
"20070623","ANA","ANA01",44010
"20070624","ANA","ANA01",42346
"20070625","ANA","ANA01",43895
"20070626","ANA","ANA01",44002
"20070627","ANA","ANA01",41269
"20070713","ANA","ANA01",44100
"20070714","ANA","ANA01",44026
"20070715","ANA","ANA01",44068
"20070723","ANA","ANA01",43847
"20070724","ANA","ANA01",43784
"20070725","ANA","ANA01",44252
"20070727","ANA","ANA01",44042
"20070728","ANA","ANA01",43122
"20070729","ANA","ANA01",44019
"20070806","ANA","ANA01",44142
"20070807","ANA","ANA01",44177
"20070808","ANA","ANA01",44243
"20070810","ANA","ANA01",43810
"20070811","ANA","ANA01",44064
"20070812","ANA","ANA01",43911
"20070820","ANA","ANA01",44249
"20070821","ANA","ANA01",44264
"20070822","ANA","ANA01",44326
"20070823","ANA","ANA01",41009
"20070824","ANA","ANA01",41131
"20070825","ANA","ANA01",41631
"20070826","ANA","ANA01",40565
"20070831","ANA","ANA01",41012
"20070901","ANA","ANA01",38342
"20070902","ANA","ANA01",40635
"20070903","ANA","ANA01",39164
"20070904","ANA","ANA01",39017
"20070905","ANA","ANA01",34000
"20070906","ANA","ANA01",41720
"20070907","ANA","ANA01",40020
"20070908","ANA","ANA01",43544
"20070909","ANA","ANA01",40037
"20070917","ANA","ANA01",37530
"20070918","ANA","ANA01",36313
"20070919","ANA","ANA01",33699
"20070920","ANA","ANA01",40016
"20070921","ANA","ANA01",44018
"20070922","ANA","ANA01",43583
"20070923","ANA","ANA01",44234
"20070409","ARI","PHO01",41803
"20070410","ARI","PHO01",21225
"20070411","ARI","PHO01",19534
"20070413","ARI","PHO01",20219
"20070414","ARI","PHO01",27721
"20070415","ARI","PHO01",21904
"20070416","ARI","PHO01",27427
"20070417","ARI","PHO01",25735
"20070424","ARI","PHO01",19508
"20070425","ARI","PHO01",18307
"20070426","ARI","PHO01",16792
"20070427","ARI","PHO01",24798
"20070428","ARI","PHO01",32147
"20070429","ARI","PHO01",28818
"20070503","ARI","PHO01",19710
"20070504","ARI","PHO01",26268
"20070505","ARI","PHO01",30339
"20070506","ARI","PHO01",35363
"20070507","ARI","PHO01",19592
"20070508","ARI","PHO01",22888
"20070509","ARI","PHO01",25286
"20070521","ARI","PHO01",19782
"20070522","ARI","PHO01",23058
"20070523","ARI","PHO01",18373
"20070524","ARI","PHO01",18130
"20070525","ARI","PHO01",23298
"20070526","ARI","PHO01",27836
"20070527","ARI","PHO01",26621
"20070605","ARI","PHO01",25848
"20070606","ARI","PHO01",24398
"20070607","ARI","PHO01",21984
"20070608","ARI","PHO01",40435
"20070609","ARI","PHO01",49826
"20070610","ARI","PHO01",46622
"20070618","ARI","PHO01",18963
"20070619","ARI","PHO01",19761
"20070620","ARI","PHO01",31805
"20070622","ARI","PHO01",21722
"20070623","ARI","PHO01",29832
"20070624","ARI","PHO01",27744
"20070625","ARI","PHO01",24966
"20070626","ARI","PHO01",28734
"20070627","ARI","PHO01",26867
"20070628","ARI","PHO01",26526
"20070713","ARI","PHO01",30981
"20070714","ARI","PHO01",36833
"20070715","ARI","PHO01",30343
"20070723","ARI","PHO01",19620
"20070724","ARI","PHO01",21035
"20070725","ARI","PHO01",20154
"20070726","ARI","PHO01",18721
"20070727","ARI","PHO01",27151
"20070728","ARI","PHO01",33664
"20070729","ARI","PHO01",30535
"20070807","ARI","PHO01",25340
