"GAME_DT","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT"
"20120406","ANA","ANA01",44106
"20120407","ANA","ANA01",40022
"20120408","ANA","ANA01",32227
"20120416","ANA","ANA01",27338
"20120417","ANA","ANA01",41016
"20120418","ANA","ANA01",27217
"20120419","ANA","ANA01",27864
"20120420","ANA","ANA01",32272
"20120421","ANA","ANA01",38054
"20120422","ANA","ANA01",38221
"20120430","ANA","ANA01",27027
"20120501","ANA","ANA01",30039
"20120502","ANA","ANA01",27288
"20120503","ANA","ANA01",28359
"20120504","ANA","ANA01",33160
"20120505","ANA","ANA01",39018
"20120506","ANA","ANA01",37548
"20120514","ANA","ANA01",32851
"20120515","ANA","ANA01",31762
"20120516","ANA","ANA01",39027
"20120517","ANA","ANA01",30786
"20120528","ANA","ANA01",44016
"20120529","ANA","ANA01",42065
"20120530","ANA","ANA01",40111
"20120601","ANA","ANA01",40080
"20120602","ANA","ANA01",44227
"20120603","ANA","ANA01",42465
"20120604","ANA","ANA01",36079
"20120605","ANA","ANA01",35021
"20120606","ANA","ANA01",37342
"20120615","ANA","ANA01",37096
"20120616","ANA","ANA01",42483
"20120617","ANA","ANA01",42222
"20120618","ANA","ANA01",41234
"20120619","ANA","ANA01",38010
"20120620","ANA","ANA01",40321
"20120622","ANA","ANA01",44548
"20120623","ANA","ANA01",44512
"20120624","ANA","ANA01",43975
"20120705","ANA","ANA01",38104
"20120706","ANA","ANA01",42716
"20120707","ANA","ANA01",41147
"20120708","ANA","ANA01",37108
"20120720","ANA","ANA01",43936
"20120721","ANA","ANA01",39086
"20120722","ANA","ANA01",42160
"20120723","ANA","ANA01",35047
"20120724","ANA","ANA01",35051
"20120725","ANA","ANA01",39107
"20120727","ANA","ANA01",40136
"20120728","ANA","ANA01",41232
"20120729","ANA","ANA01",35477
"20120810","ANA","ANA01",39016
"20120811","ANA","ANA01",38722
"20120812","ANA","ANA01",36505
"20120813","ANA","ANA01",36620
"20120814","ANA","ANA01",39827
"20120815","ANA","ANA01",37554
"20120816","ANA","ANA01",38591
"20120817","ANA","ANA01",37298
"20120818","ANA","ANA01",41086
"20120819","ANA","ANA01",36789
"20120828","ANA","ANA01",38745
"20120829","ANA","ANA01",37841
"20120830","ANA","ANA01",39013
"20120907","ANA","ANA01",40104
"20120908","ANA","ANA01",41154
"20120909","ANA","ANA01",38216
"20120910","ANA","ANA01",36064
"20120911","ANA","ANA01",37794
"20120912","ANA","ANA01",38097
"20120913","ANA","ANA01",38029
"20120918","ANA","ANA01",36948
"20120919","ANA","ANA01",37093
"20120920","ANA","ANA01",38205
"20120921","ANA","ANA01",39326
"20120922","ANA","ANA01",41440
"20120923","ANA","ANA01",36546
"20120925","ANA","ANA01",38538
"20120926","ANA","ANA01",37916
"20120927","ANA","ANA01",37377
"20120406","ARI","PHO01",49130
"20120407","ARI","PHO01",34789
"20120408","ARI","PHO01",24193
"20120416","ARI","PHO01",17366
"20120417","ARI","PHO01",19198
"20120418","ARI","PHO01",18368
"20120419","ARI","PHO01",18110
"20120420","ARI","PHO01",27761
"20120421","ARI","PHO01",30188
"20120422","ARI","PHO01",28679
"20120423","ARI","PHO01",21195
"20120424","ARI","PHO01",24213
"20120425","ARI","PHO01",25934
"20120507","ARI","PHO01",26447
"20120508","ARI","PHO01",30156
"20120509","ARI","PHO01",27710
"20120511","ARI","PHO01",35792
"20120512","ARI","PHO01",31719
"20120513","ARI","PHO01",35430
"20120521","ARI","PHO01",24768
"20120522","ARI","PHO01",25738
"20120523","ARI","PHO01",27645
"20120525","ARI","PHO01",35478
"20120526","ARI","PHO01",30184
"20120527","ARI","PHO01",33481
"20120604","ARI","PHO01",22881
"20120605","ARI","PHO01",22322
"20120606","ARI","PHO01",23069
"20120608","ARI","PHO01",25787
"20120609","ARI","PHO01",28061
"20120610","ARI","PHO01",28112
"20120618","ARI","PHO01",24284
"20120619","ARI","PHO01",21568
"20120620","ARI","PHO01",29630
"20120622","ARI","PHO01",34654
"20120623","ARI","PHO01",38542
"20120624","ARI","PHO01",33448
"20120702","ARI","PHO01",19633
"20120703","ARI","PHO01",21329
"20120704","ARI","PHO01",48819
"20120705","ARI","PHO01",23002
"20120706","ARI","PHO01",24891
"20120707","ARI","PHO01",36903
"20120708","ARI","PHO01",30523
"20120720","ARI","PHO01",23567
"20120721","ARI","PHO01",35665
"20120722","ARI","PHO01",20951
"20120723","ARI","PHO01",20056
"20120724","ARI","PHO01",20432
"20120725","ARI","PHO01",23385
"20120726","ARI","PHO01",22010
